name	inchi	inchikey	file_to_add	filename	all_names	in_sink	source	compound
styrene	InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2	PPBRXRYQALVLMV-UHFFFAOYSA-N		styrene	['styrene']	False	LASER	styrene
stearidonate	InChI=1S/C18H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10,12-13H,2,5,8,11,14-17H2,1H3,(H,19,20)/p-1/b4-3-,7-6-,10-9-,13-12-	JIWBIWFOSCKQMA-LTKCOYKYSA-M		stearidonate	['stearidonate']	False	LASER	stearidonate
shikimate	InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/p-1/t4-,5-,6-/m1/s1	JXOHGGNKMLTUBP-HSUXUTPPSA-M		shikimate	['shikimate']	True	LASER	shikimate
sclareol	InChI=1S/C20H36O2/c1-7-18(4,21)13-9-16-19(5)12-8-11-17(2,3)15(19)10-14-20(16,6)22/h7,15-16,21-22H,1,8-14H2,2-6H3/t15-,16+,18-,19-,20+/m0/s1	XVULBTBTFGYVRC-HHUCQEJWSA-N		sclareol	['sclareol']	False	LASER	sclareol
salvianic acid A	InChI=1S/C9H10O5/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8,10-12H,4H2,(H,13,14)/t8-/m1/s1	PAFLSMZLRSPALU-MRVPVSSYSA-N		salvianic_acid_A	['salvianic acid A']	False	LASER	salvianic_acid_A
(-)-sabinene	InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h7,9H,3-6H2,1-2H3/t9-,10-/m0/s1	NDVASEGYNIMXJL-UWVGGRQHSA-N		sabinene	['(-)-sabinene']	False	LASER	sabinene
(S)-reticuline	InChI=1S/C19H23NO4/c1-20-7-6-13-10-19(24-3)17(22)11-14(13)15(20)8-12-4-5-18(23-2)16(21)9-12/h4-5,9-11,15,21-22H,6-8H2,1-3H3/p+1/t15-/m0/s1	BHLYRWXGMIUIHG-HNNXBMFYSA-O		S-reticuline	['(S)-reticuline']	False	LASER	S-reticuline
(S)-malate	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1	BJEPYKJPYRNKOW-REOHCLBHSA-L		S-malate	['(S)-malate']	True	LASER	S-malate
(S)-lactate	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1	JVTAAEKCZFNVCJ-REOHCLBHSA-M		S-lactate	['(S)-lactate']	True	LASER	S-lactate
(S)-3-hydroxybutanoate	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m0/s1	WHBMMWSBFZVSSR-VKHMYHEASA-M		S-3-hydroxybutanoate	['(S)-3-hydroxybutanoate']	False	LASER	S-3-hydroxybutanoate
(R,R)-2,3-butanediol	InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3/t3-,4-/m1/s1	OWBTYPJTUOEWEK-QWWZWVQMSA-N		RR-23-butanediol	['(R,R)-2,3-butanediol']	False	LASER	RR-23-butanediol
rosmarinate	InChI=1S/C18H16O8/c19-12-4-1-10(7-14(12)21)3-6-17(23)26-16(18(24)25)9-11-2-5-13(20)15(22)8-11/h1-8,16,19-22H,9H2,(H,24,25)/p-1/b6-3+/t16-/m1/s1	DOUMFZQKYFQNTF-WUTVXBCWSA-M		rosmarinate	['rosmarinate']	False	LASER	rosmarinate
riboflavin	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/p-1/t11-,12+,14-/m0/s1	AUNGANRZJHBGPY-SCRDCRAPSA-M		riboflavin	['riboflavin']	True	LASER	riboflavin
(R)-propane-1,2-diol	InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m1/s1	DNIAPMSPPWPWGF-GSVOUGTGSA-N		R-propane-12-diol	['(R)-propane-1,2-diol']	True	LASER	R-propane-12-diol
(R)-mevalonate 3-phosphate	InChI=1S/C6H13O7P/c1-6(2-3-7,4-5(8)9)13-14(10,11)12/h7H,2-4H2,1H3,(H,8,9)(H2,10,11,12)/p-3/t6-/m1/s1	VWCNCYQNEAUWMQ-ZCFIWIBFSA-K		R-mevalonate_3-phosphate	['(R)-mevalonate 3-phosphate']	False	LASER	R-mevalonate_3-phosphate
(R)-mevalonate	InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)/p-1/t6-/m1/s1	KJTLQQUUPVSXIM-ZCFIWIBFSA-M		R-mevalonate	['(R)-mevalonate']	False	LASER	R-mevalonate
(R)-lactate	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m1/s1	JVTAAEKCZFNVCJ-UWTATZPHSA-M		R-lactate	['(R)-lactate']	True	LASER	R-lactate
(R)-acetoin	InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3/t3-/m1/s1	ROWKJAVDOGWPAT-GSVOUGTGSA-N		R-acetoin	['(R)-acetoin']	False	LASER	R-acetoin
(R)-3-(phenyl)lactate	InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)/p-1/t8-/m1/s1	VOXXWSYKYCBWHO-MRVPVSSYSA-M		R-3-phenyllactate	['(R)-3-(phenyl)lactate']	False	LASER	R-3-phenyllactate
(R)-3-hydroxybutanoate	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1	WHBMMWSBFZVSSR-GSVOUGTGSA-M		R-3-hydroxybutanoate	['(R)-3-hydroxybutanoate']	False	LASER	R-3-hydroxybutanoate
(R)-3-(4-hydroxyphenyl)lactate	InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)/p-1/t8-/m1/s1	JVGVDSSUAVXRDY-MRVPVSSYSA-M		R-3-4-hydroxyphenyllactate	['(R)-3-(4-hydroxyphenyl)lactate']	False	LASER	R-3-4-hydroxyphenyllactate
R-1-phenylethanol	InChI=1S/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3/t7-/m1/s1	WAPNOHKVXSQRPX-SSDOTTSWSA-N		R-1-phenylethanol	['R-1-phenylethanol']	False	LASER	R-1-phenylethanol
QUERCETIN 3-O-XYLOSIDE	InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15+,17-,20?/m1/s1	PZZRDJXEMZMZFD-DUYPVGENSA-N		QUERCETIN_3-O-XYLOSIDE	['QUERCETIN 3-O-XYLOSIDE']	False	LASER	QUERCETIN_3-O-XYLOSIDE
pyruvate	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1	LCTONWCANYUPML-UHFFFAOYSA-M		pyruvate	['pyruvate']	True	LASER	pyruvate
putrescine	InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2	KIDHWZJUCRJVML-UHFFFAOYSA-P		putrescine	['putrescine']	True	LASER	putrescine
propanoate	InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/p-1	XBDQKXXYIPTUBI-UHFFFAOYSA-M		propanoate	['propanoate']	False	LASER	propanoate
PROPANE	InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	ATUOYWHBWRKTHZ-UHFFFAOYSA-N		PROPANE	['PROPANE']	False	LASER	PROPANE
propan-2-ol	InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3	KFZMGEQAYNKOFK-UHFFFAOYSA-N		propan-2-ol	['propan-2-ol']	False	LASER	propan-2-ol
propan-1-ol	InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3	BDERNNFJNOPAEC-UHFFFAOYSA-N		propan-1-ol	['propan-1-ol']	False	LASER	propan-1-ol
prenol	InChI=1S/C5H10O/c1-5(2)3-4-6/h3,6H,4H2,1-2H3	ASUAYTHWZCLXAN-UHFFFAOYSA-N		prenol	['prenol']	False	LASER	prenol
pinosylvin	InChI=1S/C14H12O2/c15-13-8-12(9-14(16)10-13)7-6-11-4-2-1-3-5-11/h1-10,15-16H/b7-6+	YCVPRTHEGLPYPB-VOTSOKGWSA-N		pinosylvin	['pinosylvin']	False	LASER	pinosylvin
phenylacetate	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)/p-1	WLJVXDMOQOGPHL-UHFFFAOYSA-M		phenylacetate	['phenylacetate']	True	LASER	phenylacetate
phenol	InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H	ISWSIDIOOBJBQZ-UHFFFAOYSA-N		phenol	['phenol']	False	LASER	phenol
Pentadecaheptaene	InChI=1S/C15H18/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H,1H2,2H3	CETJIWVTDUCJAH-UHFFFAOYSA-N		Pentadecaheptaene	['Pentadecaheptaene']	False	LASER	Pentadecaheptaene
penicillin G	InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1/t11-,12+,14-/m1/s1	JGSARLDLIJGVTE-MBNYWOFBSA-M		penicillin_G	['penicillin G']	False	LASER	penicillin_G
(-)-patchoulol	InChI=1S/C15H26O/c1-10-5-8-15(16)13(2,3)11-6-7-14(15,4)12(10)9-11/h10-12,16H,5-9H2,1-4H3/t10-,11?,12?,14-,15?/m0/s1	GGHMUJBZYLPWFD-DUNKBJDJSA-N		patchoulol	['(-)-patchoulol']	False	LASER	patchoulol
NADPH	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/p-4/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	ACFIXJIJDZMPPO-NNYOXOHSSA-J		NADPH	['NADPH']	True	LASER	NADPH
N-acetyl-alpha-neuraminate	InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/p-1/t5-,6+,7+,8+,9+,11-/m0/s1	SQVRNKJHWKZAKO-PFQGKNLYSA-M		N-acetyl-alpha-neuraminate	['N-acetyl-alpha-neuraminate']	True	LASER	N-acetyl-alpha-neuraminate
N-acetyl-alpha-D-glucosamine	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8-/m1/s1	OVRNDRQMDRJTHS-FMDGEEDCSA-N		N-acetyl-alpha-D-glucosamine	['N-acetyl-alpha-D-glucosamine']	True	LASER	N-acetyl-alpha-D-glucosamine
MUCONIC ACID	InChI=1S/C6H6O4/c7-5(8)3-1-2-4-6(9)10/h1-4H,(H,7,8)(H,9,10)/b3-1+,4-2+	TXXHDPDFNKHHGW-ZPUQHVIOSA-N		MUCONIC_ACID	['MUCONIC ACID']	False	LASER	MUCONIC_ACID
morphine	InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/p+1/t10-,11+,13-,16-,17-/m0/s1	BQJCRHHNABKAKU-KBQPJGBKSA-O		morphine	['morphine']	False	LASER	morphine
miltiradiene	InChI=1S/C20H32/c1-14(2)15-7-9-17-16(13-15)8-10-18-19(3,4)11-6-12-20(17,18)5/h7,14,18H,6,8-13H2,1-5H3/t18-,20+/m0/s1	BGVUIJDZTQIJIO-AZUAARDMSA-N		miltiradiene	['miltiradiene']	False	LASER	miltiradiene
manoyl oxide	InChI=1S/C20H34O/c1-7-18(4)13-9-16-19(5)12-8-11-17(2,3)15(19)10-14-20(16,6)21-18/h7,15-16H,1,8-14H2,2-6H3/t15?,16?,18-,19-,20+/m0/s1	IGGWKHQYMAJOHK-NKBYQBPKSA-N		manoyl_oxide	['manoyl oxide']	False	LASER	manoyl_oxide
manool	InChI=1S/C20H34O/c1-7-19(5,21)14-11-16-15(2)9-10-17-18(3,4)12-8-13-20(16,17)6/h7,16-17,21H,1-2,8-14H2,3-6H3/t16-,17-,19-,20+/m0/s1	CECREIRZLPLYDM-QGZVKYPTSA-N		manool	['manool']	False	LASER	manool
levopimaradiene	InChI=1S/C20H32/c1-14(2)15-7-9-17-16(13-15)8-10-18-19(3,4)11-6-12-20(17,18)5/h7,13-14,17-18H,6,8-12H2,1-5H3/t17-,18-,20+/m0/s1	ASPVQUYRFYUDSC-CMKODMSKSA-N		levopimaradiene	['levopimaradiene']	False	LASER	levopimaradiene
L-valine	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	KZSNJWFQEVHDMF-BYPYZUCNSA-N		L-valine	['L-valine']	True	LASER	L-valine
L-tyrosine	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1	OUYCCCASQSFEME-QMMMGPOBSA-N		L-tyrosine	['L-tyrosine']	True	LASER	L-tyrosine
L-threonine	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	AYFVYJQAPQTCCC-GBXIJSLDSA-N		L-threonine	['L-threonine']	True	LASER	L-threonine
L-serine	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	MTCFGRXMJLQNBG-REOHCLBHSA-N		L-serine	['L-serine']	True	LASER	L-serine
L-phenylalanine	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	COLNVLDHVKWLRT-QMMMGPOBSA-N		L-phenylalanine	['L-phenylalanine']	True	LASER	L-phenylalanine
L-methionine	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	FFEARJCKVFRZRR-BYPYZUCNSA-N		L-methionine	['L-methionine']	True	LASER	L-methionine
L-lysine	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1	KDXKERNSBIXSRK-YFKPBYRVSA-O		L-lysine	['L-lysine']	True	LASER	L-lysine
L-glutamine	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	ZDXPYRJPNDTMRX-VKHMYHEASA-N		L-glutamine	['L-glutamine']	True	LASER	L-glutamine
L-dopa	InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1	WTDRDQBEARUVNC-LURJTMIESA-N		L-dopa	['L-dopa']	False	LASER	L-dopa
L-dihomomethionine	InChI=1S/C7H15NO2S/c1-11-5-3-2-4-6(8)7(9)10/h6H,2-5,8H2,1H3,(H,9,10)/t6-/m0/s1	FBWIRBFZWNIGJC-LURJTMIESA-N		L-dihomomethionine	['L-dihomomethionine']	False	LASER	L-dihomomethionine
L-carnitine	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1	PHIQHXFUZVPYII-ZCFIWIBFSA-N		L-carnitine	['L-carnitine']	True	LASER	L-carnitine
L-arginine	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/p+1/t4-/m0/s1	ODKSFYDXXFIFQN-BYPYZUCNSA-O		L-arginine	['L-arginine']	True	LASER	l-arginine
L-alanyl-L-glutamine	InChI=1S/C8H15N3O4/c1-4(9)7(13)11-5(8(14)15)2-3-6(10)12/h4-5H,2-3,9H2,1H3,(H2,10,12)(H,11,13)(H,14,15)/t4-,5-/m0/s1	HJCMDXDYPOUFDY-WHFBIAKZSA-N		L-alanyl-L-glutamine	['L-alanyl-L-glutamine']	False	LASER	L-alanyl-L-glutamine
L-alanine	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	QNAYBMKLOCPYGJ-REOHCLBHSA-N		L-alanine	['L-alanine']	True	LASER	L-alanine
kaempferol 3-O-alpha-D-glucoside	InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/p-1/t13-,15-,17+,18-,21+/m1/s1	JPUKWEQWGBDDQB-QSOFNFLRSA-M		kaempferol_3-O-alpha-D-glucoside	['kaempferol 3-O-alpha-D-glucoside']	False	LASER	kaempferol_3-O-alpha-D-glucoside
itaconate	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)/p-2	LVHBHZANLOWSRM-UHFFFAOYSA-L		itaconate	['itaconate']	False	LASER	itaconate
isoprenyl alcohol	InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3	HNVRRHSXBLFLIG-UHFFFAOYSA-N		isoprenyl_alcohol	['isoprenyl alcohol']	False	LASER	isoprenyl_alcohol
ISOPRENOL	InChI=1S/C5H10O/c1-5(2)3-4-6/h6H,1,3-4H2,2H3	CPJRRXSHAYUTGL-UHFFFAOYSA-N		ISOPRENOL	['ISOPRENOL']	False	LASER	ISOPRENOL
isoprene	InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3	RRHGJUQNOFWUDK-UHFFFAOYSA-N		isoprene	['isoprene']	False	LASER	isoprene
isobutanol	InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3	ZXEKIIBDNHEJCQ-UHFFFAOYSA-N		isobutanol	['isobutanol']	False	LASER	isobutanol
Indigoidine	InChI=1S/C10H8N4O4/c11-5-1-3(7(15)13-9(5)17)4-2-6(12)10(18)14-8(4)16/h1-2,11H,12H2,(H,13,15,17)(H2,14,16,18)	YCZATMZTIWSFLZ-UHFFFAOYSA-N		Indigoidine	['Indigoidine']	False	LASER	Indigoidine
<I>myo</I>-inositol	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-	CDAISMWEOUEBRE-GPIVLXJGSA-N		ImyoI-inositol	['<I>myo</I>-inositol']	True	LASER	ImyoI-inositol
hydroxyacetone	InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3	XLSMFKSTNGKWQX-UHFFFAOYSA-N		hydroxyacetone	['hydroxyacetone']	True	LASER	hydroxyacetone
homofuraneol	InChI=1S/C7H10O3/c1-3-5-7(9)6(8)4(2)10-5/h5,8H,3H2,1-2H3	GWCRPYGYVRXVLI-UHFFFAOYSA-N		homofuraneol	['homofuraneol']	False	LASER	homofuraneol
hexanoate	InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/p-1	FUZZWVXGSFPDMH-UHFFFAOYSA-M		hexanoate	['hexanoate']	True	LASER	hexanoate
H2	InChI=1S/H2/h1H	UFHFLCQGNIYNRP-UHFFFAOYSA-N		H2	['H2']	True	LASER	H2
glycolate	InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)/p-1	AEMRFAOFKBGASW-UHFFFAOYSA-M		glycolate	['glycolate']	True	LASER	glycolate
glycerone phosphate	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)/p-2	GNGACRATGGDKBX-UHFFFAOYSA-L		glycerone_phosphate	['glycerone phosphate']	True	LASER	glycerone_phosphate
glycerol	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	PEDCQBHIVMGVHV-UHFFFAOYSA-N		glycerol	['glycerol']	True	LASER	glycerol
glutarate	InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)/p-2	JFCQEDHGNNZCLN-UHFFFAOYSA-L		glutarate	['glutarate']	False	LASER	glutarate
geraniol	InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+	GLZPCOQZEFWAFX-JXMROGBWSA-N		geraniol	['geraniol']	False	LASER	geraniol
fumarate	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+	VZCYOOQTPOCHFL-OWOJBTEDSA-L		fumarate	['fumarate']	True	LASER	fumarate
ferulate	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/p-1/b5-3+	KSEBMYQBYZTDHS-HWKANZROSA-M		ferulate	['ferulate']	False	LASER	ferulate
ethylene glycol	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	LYCAIKOWRPUZTN-UHFFFAOYSA-N		ethylene_glycol	['ethylene glycol']	False	LASER	ethylene_glycol
ethyl butyrate	InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3	OBNCKNCVKJNDBV-UHFFFAOYSA-N		ethyl_butyrate	['ethyl butyrate']	False	LASER	ethyl_butyrate
ethene	InChI=1S/C2H4/c1-2/h1-2H2	VGGSQFUCUMXWEO-UHFFFAOYSA-N		ethene	['ethene']	False	LASER	ethene
ethanol	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	LFQSCWFLJHTTHZ-UHFFFAOYSA-N		ethanol	['ethanol']	True	LASER	ethanol
erythro-glycerol 3-phosphate	InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/p-2/t3-/m1/s1	AWUCVROLDVIAJX-GSVOUGTGSA-L		erythro-glycerol_3-phosphate	['erythro-glycerol 3-phosphate']	True	LASER	erythro-glycerol_3-phosphate
(E,E)-alpha-farnesene	InChI=1S/C15H24/c1-6-14(4)10-8-12-15(5)11-7-9-13(2)3/h6,9-10,12H,1,7-8,11H2,2-5H3/b14-10+,15-12+	CXENHBSYCFFKJS-VDQVFBMKSA-N		EE-alpha-farnesene	['(E,E)-alpha-farnesene']	False	LASER	EE-alpha-farnesene
(E)-alpha-bisabolene	InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6-8,15H,5,9-11H2,1-4H3/b14-7+	YHBUQBJHSRGZNF-VGOFMYFVSA-N		E-alpha-bisabolene	['(E)-alpha-bisabolene']	False	LASER	E-alpha-bisabolene
dihydroxyacetone	InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2	RXKJFZQQPQGTFL-UHFFFAOYSA-N		dihydroxyacetone	['dihydroxyacetone']	True	LASER	dihydroxyacetone
deoxyviolacein	InChI=1S/C20H13N3O2/c24-19-13(18-12-6-2-4-8-16(12)22-20(18)25)9-17(23-19)14-10-21-15-7-3-1-5-11(14)15/h1-10,21H,(H,22,25)(H,23,24)/b18-13+	OJUJNNKCVPCATE-QGOAFFKASA-N		deoxyviolacein	['deoxyviolacein']	False	LASER	deoxyviolacein
D-xylonate	InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)/p-1/t2-,3+,4-/m1/s1	QXKAIJAYHKCRRA-FLRLBIABSA-M		D-xylonate	['D-xylonate']	True	LASER	D-xylonate
D-galactonate	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3+,4+,5-/m1/s1	RGHNJXZEOKUKBD-MGCNEYSASA-M		D-galactonate	['D-galactonate']	True	LASER	D-galactonate
