name,smiles
propane,CCC
ethene,C=C
propylene_oxide,CC1CO1
dihydrofuranone,C1C(COC1=O)O
ethyl_acetate,CCOC(=O)C
geraniol,CC(=CCCC(=CCO)C)C
2_furanmethanol,C1=COC(=C1)CO
furfural,C1=COC(=C1)C=O
geranial,CC(=CCCC(=CC=O)C)C
benzamine,C1=CC=C(C=C1)N
cyanuric_acid,C1(=O)NC(=O)NC(=O)N1
terepthalic_acid,COC(=O)C1=CC=C(C=C1)C(=O)O
resorcinol,C1=CC(=CC(=C1)O)O
3_methylphenol,OC1=CC(C)=CC=C1
cresol,OC1=CC=C(C)C=C1
melamine,C1(=NC(=NC(=N1)N)N)N
910_anthraquinone,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O
styrene,C=CC1=CC=CC=C1
14_dimethylbenzene,CC1=CC=C(C=C1)C
terpinolene,CC1=CCC(=C(C)C)CC1
1_napthalenol,C1=CC=C2C(=C1)C=CC=C2O
coumarin,C1=CC=C2C(=C1)C=CC(=O)O2
12_benzenediol,C1=CC=C(C(=C1)O)O
napthalene,C1=CC=C2C=CC=CC2=C1
13_dimethylbenzene,CC1=CC(=CC=C1)C
acetic_acid_phenylmethyl_ester,CC(=O)OCC1=CC=CC=C1
benzeneethanol,C1=CC=C(C=C1)CCO
bisphenol_A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
4_ethylphenol,CCC1=CC=C(C=C1)O
phenol,C1=CC=C(C=C1)O
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
2_methoxyphenol,COC1=CC=CC=C1O
3_phenyl_2_propenal,C1=CC=C(C=C1)C=CC=O
benzenemethanol,C1=CC=C(C=C1)CO
toluene,CC1=CC=CC=C1
benzene,C1=CC=CC=C1
salicylic_acid,C1=CC=C(C(=C1)C(=O)O)O
4_hydroxyacetophenone,CC(=O)C1=CC=C(C=C1)O
24_diaminotoluene,CC1=C(C=C(C=C1)N)N
2_hydroxytoluene,CC1=CC=CC=C1O
2_methylnapthalene,CC1=CC=C(C=CC=C2)C2=C1
estragole,COC1=CC=C(C=C1)CC=C
biuret,C(=O)(N)NC(=O)N
12_dimethylbenzene,CC1=CC=CC=C1C
14_benzenediol,C1=CC(=CC=C1O)O
ethylbenzene,CCC1=CC=CC=C1
2_napthol,C1=CC=C2C=C(C=CC2=C1)O
3_methylbenzoic_acid,CC1=CC(=CC=C1)C(=O)O
phenylbenzene,C1=CC=C(C=C1)C2=CC=CC=C2
benzaldehyde,C1=CC=C(C=C1)C=O
alpha_tocopherol,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
4_hydroxybenzoic_acid,C1=CC(=CC=C1C(=O)O)O
2_aminophenol,C1=CC=C(C(=C1)N)O
2_phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O
2_methylbenzoic_acid,CC1=CC=CC=C1C(=O)O
4_aminophenol,C1=CC(=CC=C1N)O
methyl_ester_benzoic_acid,COC(=O)C1=CC=CC=C1
styrene_oxide,C1C(O1)C2=CC=CC=C2
nicotinic_acid,C1=CC(=CN=C1)C(=O)O
salicylaldehyde,C1=CC=C(C(=C1)C=O)O
acetophenone,CC(=O)C1=CC=CC=C1
o_methyl_anthranillate,COC(=O)C1=CC=CC=C1N
methyl_salicylate,COC(=O)C1=CC=CC=C1O
benzyl_benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
nicotinamide,C1=CC(=CN=C1)C(=O)N
13_dimethylxanthine,CN1C2=C(C(=O)N(C1=O)C)NC=N2
p_toluic_acid,CC1=CC=C(C=C1)C(=O)O
pthalate,C1=CC=C(C(=C1)C(=O)O)C(=O)O
benzoic_acid,C1=CC=C(C=C1)C(=O)O
vanillin,COC1=C(C=CC(=C1)C=O)O
