molecule_label,cleaned_SMILES
Retro190_target_113,COc1cc2ncc3c(N)nc(-c4cncc(OCCN(Cc5ccc(F)cc5)C(=O)OC(C)(C)C)c4)cc3c2cc1OC
Retro190_target_114,OC1CCCc2sc(-c3ccncc3)cc2C1c1ccc(Cl)cc1
Retro190_target_115,O=C(O)C1CCOCC1c1ccc(I)cc1
Retro190_target_116,CC(C)(C)OC(=O)C12C=CCC1CN(C(=O)OCc1ccccc1)C2
Retro190_target_117,Cn1oc(=O)nc1C(=NOCc1cccc(N)n1)c1ccccc1
Retro190_target_118,CC1(O)C(O)C(CO)OC1n1cc(-c2ccccc2)c2c(N)ncnc21
Retro190_target_119,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCC(C)(C)C(=O)O)c1
Retro190_target_120,C[Si](C)(C)CCOCn1c(OC2COC3C(O)COC23)nc2cc(Cl)c(-c3ccc(-c4ccc(N=S(C)(=O)N5CCC5)cc4)cc3)nc21
Retro190_target_121,COc1cc2c(Oc3cc(C)c(C)nc3-c3cccc(C)n3)ccnc2cc1OCCNCCO
Retro190_target_122,COC(=O)C1CCCC2(CCCCC2)C1O
Retro190_target_123,COC(=O)c1ccc2c(c1)C=CC(=C(Cl)Cl)CO2
Retro190_target_124,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(CC#N)CC2)c1
Retro190_target_125,CC1(C)COCc2nc3cnc(Br)cc3n21
Retro190_target_126,C=CCC1C(=O)N(C(C)c2ccccc2)CC1(C=C)C(=O)OC(C)(C)C
Retro190_target_127,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2C(=O)Oc2ccc3c(c2)CCC3)c1
Retro190_target_128,Nc1ccc(OC2(S(=O)(=O)c3ccccc3)CC2)nc1Cl
Retro190_target_129,CC1=NC2(N=C1N)c1cc(-c3cc(F)cc(F)c3)ccc1CCC21CC1
Retro190_target_130,CC#CCn1c(Br)nc(C=O)c1C(=O)OC
Retro190_target_131,NS(=O)(=O)OCC1CC(c2cnn3c(NC4CCc5ccccc54)ncnc23)CC1O
Retro190_target_132,CC(C)S(=O)(=O)NC1CCOCC1c1ccc(I)cc1
Retro190_target_133,O=C(Nc1ccc(-c2cnc(C34CC5CC(CC(C(=O)O)(C5)C3)C4)s2)cc1)Nc1cccc(C(F)(F)F)c1
Retro190_target_134,NC(=O)CN1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1
Retro190_target_135,CC(O[Si](C)(C)C(C)(C)C)C1CC(O)CC(C)(C)N1
Retro190_target_136,Cc1ccn2cc(CO)n(-c3ccccc3)c(=O)c12
Retro190_target_137,COC(=O)c1ccc(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(Cl)c2)cc1
Retro190_target_138,CC(=O)Nc1cccc(N2CCN(CCc3nn(C)c(=O)n3CC3CCCCC3)CC2)c1
Retro190_target_139,C=C(CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)OC(C)(C)C)C(=O)O
Retro190_target_140,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2CO)c1
Retro190_target_141,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cnc(C(C)(O)C3CCC(C(=O)O)CC3)s2)c1
Retro190_target_142,COC(=O)CCc1cc2cc(-c3noc(-c4ccc(OC(C)C)c(Cl)c4)n3)ccc2n1C
Retro190_target_143,Cn1nccc1C12CCCCC1OC(=O)O2
Retro190_target_144,CC1(O)C(O)C(CO)OC1n1ccc2c(N)nc(N)nc21
Retro190_target_145,O=S(=O)(c1cc(C(F)(F)F)ccc1Br)C1CCOC(c2ccc(Cl)cc2)C1
Retro190_target_146,CCc1[nH]c(C(=O)NC2CCN(c3nc(C(=O)O)c(C)s3)CC2OC)nc1C(F)(F)F
Retro190_target_147,CC(C)(C)OC(=O)N1CC=C(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1
Retro190_target_148,CC(C)(C)OC(=O)NC1c2cccnc2C(N2C(=O)c3ccccc3C2=O)CCC1c1cccc(F)c1F
Retro190_target_149,CC1=NC2(N=C1N)c1cc(Br)ccc1CCC21CC1
Retro190_target_150,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCCC#N)c1
Retro190_target_151,CCOC(=O)C1CC1COc1cc(CCCOC)cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1
Retro190_target_152,OCCN1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1
Retro190_target_153,CCOC(=O)C1CC1COc1cc(CCCOC)cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1
Retro190_target_154,CC(C)c1ccc2c(c1)OC1(O)c3ccccc3C(=O)C21NC(=O)C(=O)c1cccs1
Retro190_target_155,CC(=O)OCC1=CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O
Retro190_target_156,NC(=O)c1cc(-c2ccc3c(cnn3CCN3CCOCC3)c2)nc2c1[nH]c1cc(N3CCOCC3)ccc12
Retro190_target_157,O=C(NCC1CCC(COc2ccccc2)OC1)c1ccc(O)cc1
Retro190_target_158,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OS(=O)(=O)C(F)(F)F)c1
Retro190_target_159,CCOC(=O)C=C1CCC(c2cccc(F)c2F)C(NC(=O)OC(C)(C)C)c2cccnc21
Retro190_target_160,CC(c1ccccc1)N1CC2CC=CC2(C(=O)OC(C)(C)C)C1
Retro190_target_161,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2C(=O)O)c1
Retro190_target_162,CCc1[nH]c(C(=O)NC2CCN(c3cccc(C(=O)OC(C)(C)C)c3)CC2OC)nc1C(F)(F)F
Retro190_target_163,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C=CC1O)C(C)CC2OC
Retro190_target_164,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)C(O)c4csc(N)n4)C3SC2)s1
Retro190_target_165,CCOC(=O)CCc1cc2cc(-c3noc(-c4ccc(OC(C)C)c(Cl)c4)n3)ccc2[nH]1
Retro190_target_166,CCOC(=O)C1C(c2ccc3c(c2)OC(F)(F)O3)C1(C)C
Retro190_target_167,CC1CNC(=O)c2cc3cc(OCCCN4CCCCC4)ccc3n21
Retro190_target_168,CC(C)(C)OC(=O)NC1(c2nc(O)c3c(Cl)ccn3n2)CC1
Retro190_target_169,CC1CCCN1CCc1nnc2cc(Br)ccc2c1O
Retro190_target_170,CC(C)c1ccc(OC2CCC3(CC2)NC(C(=O)O)C(C)(C)S3)cc1
Retro190_target_171,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CCC21CC1
Retro190_target_172,CC(=O)Nc1nc2c(s1)-c1c(c(C3CC3)nn1C1CCNCC1)CC2
Retro190_target_173,COCCCCC1(CNC(=O)C2CCCNC2)c2ccccc2Oc2ccccc21
Retro190_target_174,NC1CCOCC1c1ccc(I)cc1
Retro190_target_175,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2(CC(=O)OC)CC2)c1
Retro190_target_176,CC(C(=O)NCCF)N(C)C(=O)c1ccc2c(c1)c1c(n2C)CCC(C2CCOCC2)C1
Retro190_target_177,CCCC=CC1CCC(C(CO)CO)CC1
Retro190_target_178,O=C(OCc1ccccc1)N1CCC2CCCNCC21
Retro190_target_179,OCC1OC(SC(c2ccccc2)(c2ccccc2)c2ccccc2)C(O)C(O)C1O
Retro190_target_180,CC(C)(C)OC(=O)NC1c2cccnc2C(O)CCC1c1cccc(F)c1F
Retro190_target_181,CCc1ccc(S(=O)(=O)NC2c3cc(CC(=O)NC4CCCc5ccccc54)ccc3OC(C)(C)C2O)cc1
Retro190_target_182,CCCCOC(=O)N1CCN(C(=O)C(CCCO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)NC(=O)OC(C)(C)C)CC1
Retro190_target_183,CC(=O)OC1CCC2C(CO)CCC12
Retro190_target_184,CC1OCC2CCC(c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CN2C1=O
Retro190_target_185,CCC(C)(C)OC(=O)Nc1nc(C(O)C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnc(C)s4)CSC23)cs1
Retro190_target_186,NC1=Nc2ccc(F)cc2C2CCCC12
Retro190_target_187,OCC1CC(c2cnn3c(NC4CCc5ccccc54)ncnc23)CC1O
Retro190_target_188,O=C(CO)N1CCC(c2ccc3c(c2)-n2nc(-c4ncnn4CC(F)(F)F)cc2CCO3)CC1
Retro190_target_189,COCCCc1cc(CN(C(=O)C2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1
Retro190_target_190,Oc1ccc2c(c1)C(c1ccc(OCCN3CCCC3)cc1)C(c1ccccc1)CO2
