,Name,SMARTS
25,"Tsuji–Trost Reaction, Nu = Enolates","[C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[C+0:5][C+0!H0:7][C+0;!$(*CC=O):8]=[O+0:9]>>[*:1]=[*:2][*:3][*:7]([*:5])[*:8]=[*:9].[*:4]"
26,"Tsuji–Trost Reaction, Nu = Amines","[C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[N+0!H0:7][C,c;+0:8]>>[*:1]=[*:2][*:3][*:7][*:8].[*:4]"
27,"Tsuji–Trost Reaction, Nu = Phenols","[C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[O+0H:7][c+0:8]>>[*:1]=[*:2][*:3][*:7][*:8].[*:4]"
28,"Intramolecular Tsuji-Trost Reaction, Nu = Active Methylenes","([C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[C+0:5](=[O+0:6])[C+0!H0:7][C+0:8]=[O+0:9])>>[*:1]=[*:2][*:3][*:7]([*:5]=[*:6])[*:8]=[*:9].[*:4]"
29,"Intramolecular Tsuji-Trost Reaction, Nu = Enolates","([C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[C+0:5][C+0!H0:7][C+0;!$(*CC=O):8]=[O+0:9])>>[*:1]=[*:2][*:3][*:7]([*:5])[*:8]=[*:9].[*:4]"
30,"Intramolecular Tsuji-Trost Reaction, Nu = Amines","([C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[N+0!H0:7][C,c;+0:8])>>[*:1]=[*:2][*:3][*:7][*:8].[*:4]"
31,"Intramolecular Tsuji-Trost Reaction, Nu = Phenols","([C+0:1]=[C+0:2][C+0;!$(*[OH]);!$(*=O):3]-!@[F,Cl,Br,I,O$(*C=O);+0:4].[O+0H:7][c+0:8])>>[*:1]=[*:2][*:3][*:7][*:8].[*:4]"
32,Halogen Addition of Alkynes,"[C+0:1]#[C+0:2].[F,Cl,Br,I;+0:3][F,Cl,Br,I;+0:4]>>[*:1]([*:3])=[*:2][*:4]"
33,Hydrogen Halides Addition of Alkynes,"[C+0:1]#[C+0:2].[F,Cl,Br,I;+0H:3]>>[*:1]([*:3])=[*:2]"
34,Hydration of Alkynes,[C+0:1]#[C+0:2].[O+0H2:3]>>[*:1]([*:3])=[*:2]
35,Hydrogenation of Alkynes,[C+0:1]#[C+0:2].[H][H]>>[*:1]=[*:2]
36,Hydrogenation of Alkynes to Alkanes,[C+0:1]#[C+0:2].[H][H]>>[*:1][*:2]
37,Gentle Alkyne Oxidation,[C+0:1]#[C+0:2].[O+0:4]=[O+0:5]>>[*:1](=[*:4])[*:2]=[*:5]
38,Oxidative Cleavage of Alkynes,[*:6][C+0:1]#!@[C+0:2][*:7].[O+0H2:3].[O+0:4]=[O+0:5]>>[*:6][*:1](=[*:3])[*:4].[*:7][*:2](=[*:5])[O]
39,Oxidative Cleavage of Alkynes Intramolecular,[*:6][C+0:1]#@[C+0:2][*:7].[O+0H2:3].[O+0:4]=[O+0:5]>>([*:6][*:1](=[*:3])[*:4].[*:7][*:2](=[*:5])[O])
40,Oxidative Cleavage of Terminal Alkynes,[*:6][C+0:1]#[C+0H:2].[O+0:4]=[O+0:5]>>[*:6][*:1](=[*:4])[*:5].[O]=[*:2]=[O]
41,Alkynes by Dehydrohalogenation of Alkanes,"[C+0!H0:1]([F,Cl,Br,I;+0:2])[C+0!H0:3]([F,Cl,Br,I;+0])>>[*:1]#[*:3].[*:2]"
42,Alkynes by Dehydrohalogenation of Alkenes,"[C+0:1]([F,Cl,Br,I;+0:2])=[C+0!H0:3]>>[*:1]#[*:3].[*:2]"
43,Alkylation of Acetylide Anions with Methyl and Primary Haloalkanes,"[C+0:1]#[C+0H:2].[F,Cl,Br,I;+0:3][C;H2,H3;+0:4]>>[*:1]#[*:2][*:4].[*:3]"
44,Sonogashira Coupling,"[C+0:1]#[C+0H:2].[F,Cl,Br,I;+0:3][c,C$(*=C),C$(*=O);+0:4]>>[*:1]#[*:2][*:4].[*:3]"
45,Addition of Alkynes to Aldehydes,[C+0:1]#[C+0H:2].[CX3+0H:3]=[O+0:4]>>[*:1]#[*:2][*:3][*:4]
46,Addition of Alkynes to Activated Ketones,[C+0:1]#[C+0H:2].[CX3$(*=O)+0:5][CX3!$(*O)+0:3]=[O+0:4]>>[*:1]#[*:2][*:3]([*:4])[*:5]
47,"Alcohols React with Hydrogen Halides to form Haloalkanes, Carboxylic Acids Conversion to Acid Chlorides","[C+0:1][O+0H:2].[F,Cl,Br,I;+0H:3]>>[*:1][*:3].[*:2]"
48,"Haloalkane Hydrolysis, Acid Chlorides Hydrolysis, Haloarenes Hydrolysis","[C,c;+0:1][F,Cl,Br,I;+0:2].[O+0H2:3]>>[*:1][*:3].[*:2]"
49,"Wurtz Reaction, Coupling of Halides with Gilman Reagent","[C,c;+0:1][F,Cl,Br,I;+0:2].[C,c;+0:3][F,Cl,Br,I;+0:4]>>[*:1][*:3].[*:2][*:4]"
50,"Wurtz Reaction, Coupling of Halides with Gilman Reagent, Intramolecular","([C,c;+0:1][F,Cl,Br,I;+0:2].[C,c;+0:3][F,Cl,Br,I;+0:4])>>[*:1][*:3].[*:2][*:4]"
51,Dehydrohalogenation,"[C+0:1]([F,Cl,Br,I;+0:2])[C+0!H0:3]>>[*:1]=[*:3].[*:2]"
52,Aromatic Halogenation,"[c+0H:1].[F,Cl,Br,I;+0:2][F,Cl,Br,I;+0:3]>>[*:1][*:2].[*:3]"
53,Friedel–Crafts Reaction,"[c+0H:1].[CX4,C$(*=O);+0:2][F,Cl,Br,I;+0:3]>>[*:1][*:2].[*:3]"
54,"Friedel–Crafts Reaction, Intramolecular","([c+0H:1].[CX4,C$(*=O);+0:2][F,Cl,Br,I;+0:3])>>[*:1][*:2].[*:3]"
55,Friedel–Crafts Acylation with Carboxylic Acids,[c+0H:1].[C$(*=O)+0:2][O+0H:3]>>[*:1][*:2].[*:3]
56,"Friedel–Crafts Acylation with Carboxylic Acids, Intramolecular",([c+0H:1].[C$(*=O)+0:2][O+0H:3])>>[*:1][*:2].[*:3]
57,Friedel–Crafts Acylation with Acid Anhydrides,[c+0H:1].[C$(*=O)+0:2][O+0:3]!@[C$(*=O)+0:4]>>[*:1][*:2].[*:3][*:4]
58,Friedel–Crafts Reaction with Alkenes,[c+0H:1].[C+0:2]=[C+0:3]>>[*:1][*:2][*:3]
59,"Friedel–Crafts Reaction with Alkenes, Intramolecular",([c+0H:1].[C+0:2]=[C+0:3])>>[*:1][*:2][*:3]
60,Heck Reaction,"[C+0:1]=[C+0!H0:2].[C,c;+0:3][F,Cl,Br,I;+0:4]>>[*:1]=[*:2][*:3].[*:4]"
61,"Heck Reaction, Intramolecular","([C+0:1]=[C+0!H0:2].[C,c;+0:3][F,Cl,Br,I;+0:4])>>[*:1]=[*:2][*:3].[*:4]"
62,"Suzuki Coupling with Boranes from Alkyl, Alkenyl, or Aryl Halides","[c,C!$(*~O);!$(*#*);+0:1][F,Cl,Br,I;+0].[c,C$(*=,#C);+0:2][F,Cl,Br,I;+0]>>[*:1][*:2]"
63,Suzuki Coupling with Boranes from Alkenes,"[C+0:1]=[C+0:2].[c,C$(*=,#C);+0:3][F,Cl,Br,I;+0]>>[*:1]-[*:2][*:3]"
64,Suzuki Coupling with Boranes from Alkynes,"[C+0:1]#[C+0:2].[c,C$(*=,#C);+0:3][F,Cl,Br,I;+0]>>[*:1]=[*:2][*:3]"
65,Reduction of Haloalkanes,"[CX4,c;+0:1][F,Cl,Br,I;+0:2].[H][H]>>[*:1].[*:2]"
66,Grignard Reagent with Oxiranes,"[c,C!$(*~O);!$(*#*);+0:1][F,Cl,Br,I;+0].[C+0:2]1[C+0:3][O+0:4]1>>[*:1][*:2][*:3][*:4]"
67,Dichlorocarbene with Alkenes,"[C+0H:1]([F,Cl,Br,I;+0:2])([F,Cl,Br,I;+0:3])[F,Cl,Br,I;+0:4].[C+0:5]=[C+0:6]>>[*:1]1([*:2])([*:3])[*:5][*:6]1.[*:4]"
68,Simmons-Smith Reaction,"[C+0H2:1]([F,Cl,Br,I;+0:2])[F,Cl,Br,I;+0:3].[C+0:5]=[C+0:6]>>[*:1]1[*:5][*:6]1.[*:2].[*:3]"
69,Esterification with Alkyl and Aryl Halides,"[C+0:2](=[O+0:3])[O+0H:4].[CX4,c;+0:5][F,Cl,Br,I;+0:6]>>[*:2](=[*:3])[*:4][*:5].[*:6]"
70,"Esterification with Alkyl and Aryl Halides, Intramolecular","([C+0:2](=[O+0:3])[O+0H:4].[CX4,c;+0:5][F,Cl,Br,I;+0:6])>>[*:2](=[*:3])[*:4][*:5].[*:6]"
71,Glycol Cleavage by Oxidation,[C+0:1]([O+0H:5])-!@[C+0:2][O+0H:6].[O+0:3]=[O+0]>>[*:1]=[*:5].[*:2]=[*:6].[*:3]
72,Glycol Cleavage by Oxidation Intramolecular,[C+0:1]([O+0H:5])-@[C+0:2][O+0H:6].[O+0:3]=[O+0]>>([*:1]=[*:5].[*:2]=[*:6]).[*:3]
73,"Hydrodeoxygenation of Alcohol, Classic Synthesis of Aldehydes from Carboxylic Acids","[C,c;+0:1][O+0H:2].[H][H]>>[*:1].[*:2]"
74,Dehydration of Alcohol,[C+0!H0:1][C+0:2][O+0H:3]>>[*:1]=[*:2].[*:3]
75,"Dehydration of Alcohol, 2-step",([C+0!H0:1][C+0:2][O+0H:3].[C+0!H0:4][C+0:5][O+0H])>>([*:1]=[*:2].[*:4]=[*:5]).[*:3]
76,Selective Oxidation of Alcohols,[C+0!H0:1][O+0H:2].[O+0:3]=[O+0]>>[*:1]=[*:2].[*:3]
77,Diol Carboxylation,[O+0H:1][C+0:2][C+0:3][O+0H:4].[O+0:5]=[C+0:6]=[O+0:7]>>[*:1].[*:2]1[*:3][*:4][*:6](=[*:7])[*:5]1
78,Diol Carboxylation 2,[O+0H:1][C+0:2][C+0:8][C+0:3][O+0H:4].[O+0:5]=[C+0:6]=[O+0:7]>>[*:1].[*:2]1[*:8][*:3][*:4][*:6](=[*:7])[*:5]1
79,Hydrogenolysis of Primary Alcohol,[C+0:1][C+0H2:3][O+0H:2].[H][H]>>[*:1].[*:3].[*:2]
80,"Pinacol Rearrangement, no H on Carbon#2",[C+0:1][C+0:2]([C+0:3])([O+0H:4])[C+0X4:5][O+0H:8]>>[*:1][*:2](=[*:4])[*:5]([*:3]).[*:8]
81,"Pinacol Rearrangement, 1 H on Carbon#2",[C+0H:2]([C+0:3])([O+0H:4])[C+0X4:5][O+0H:8]>>[*:2](=[*:4])([*:3])[*:5].[*:8]
82,"Pinacol Rearrangement, 2 Hs on Carbon#2",[C+0H2:2]([O+0H:4])[C+0X4:5][O+0H:8]>>[*:2](=[*:4])[*:5].[*:8]
83,Dehydration of Geminal Diol,[C+0:1]([O+0H:2])[O+0H:3]>>[*:1]=[*:2].[*:3]
84,Formation of Acetals from Hemiacetals,[C+0X4:1]([O+0H0X2:2])[O+0H:3].[O+0H:4][C+0X4;!$(*OC):5]>>[*:1]([*:2])[*:4][*:5].[*:3]
85,Oxidation Of Primary Alcohols to Carboxylic Acids,"[C+0;H3,H2:1][O+0H:2].[O+0:3]=[O+0:4]>>[*:1](=[*:3])[*:2].[*:4]"
86,"Oxidation Of Primary Alcohols to Carboxylic Acids, 2-step","([C+0;H3,H2:1][O+0H:2].[C+0;H3,H2:5][O+0H:6]).[O+0:3]=[O+0:4]>>([*:1](=[*:3])[*:2].[*:5](=[*:6])[O]).[*:4]"
87,Formation of Cyclic Acetals from Ketones/Aldehydes with Diols,[C+0X3!$(*O):1]=[O+0:2].[O+0H:3][C+0X4:4][C+0X4:5][O+0H:6]>>[*:1]1[*:3][*:4][*:5][*:6]1.[*:2]
88,"Hydrolysis of Ethers, Esters, Anhydrides","[C,c;+0:1][O+0:2]-!@[C,c;+0:3].[O+0H2:4]>>[*:1][*:2].[*:3][*:4]"
89,"Hydrolysis of Ethers, Esters, Anhydrides, Intramolecular","[C,c;+0:1][O+0:2]-@[C,c;+0:3].[O+0H2:4]>>([*:1][*:2].[*:3][*:4])"
90,Hydrogenolysis of Ethers,"[C,c;+0;!$(*=O):1]!@[O+0:2][C,c;+0;!$(*=O):3].[H][H]>>[*:1].[*:2][*:3]"
91,Hydrogenolysis of Ethers Intramolecular,"[C,c;+0;!$(*=O):1]@[O+0:2][C,c;+0;!$(*=O):3].[H][H]>>([*:1].[*:2][*:3])"
92,"Williamson Ether Synthesis, Ullmann Condensation","[C,c;!$(*=O);+0:1][O+0H:2].[CX4!H0,c;+0:3][F,Cl,Br,I;+0:4]>>[*:1][*:2][*:3].[*:4]"
93,"Williamson Ether Synthesis, Ullmann Condensation, Intramolecular","([C,c;!$(*=O);+0:1][O+0H:2].[CX4!H0,c;+0:3][F,Cl,Br,I;+0:4])>>[*:1][*:2][*:3].[*:4]"
94,Ether Cleavage,"[C,c;+0;!$(*=O):1][O+0:2]!@[C;+0;!$(*=O):3].[F,Cl,Br,I;+0H:4]>>[*:1][*:2].[*:3][*:4]"
95,"Ether Cleavage, Intramolecular","[C,c;+0;!$(*=O):1][O+0:2]@[C;+0;!$(*=O):3].[F,Cl,Br,I;+0H:4]>>([*:1][*:2].[*:3][*:4])"
96,Ether Synthesis by Dehydration,"[C,c;!$(*=O);+0:1][O+0H:2].[C,c;!$(*=O);+0:3][O+0H:4]>>[*:1][*:2][*:3].[*:4]"
97,"Ether Synthesis by Dehydration, Intramolecular","([C,c;!$(*=O);+0:1][O+0H:2].[C,c;!$(*=O);+0:3][O+0H:4])>>[*:1][*:2][*:3].[*:4]"
98,Epoxides Ring Opening,[C+0:1]1[C+0:2][O+0:3]1.[O+0!H0;!$(*-C=O):4]>>[*:4][*:1][*:2][*:3]
99,Aldehyde Oxidation,[C+0!H0:1]=[O+0:2].[O+0:3]=[O+0]>>[*:1](=[*:2])[*:3]
100,"Aldehyde Oxidation, 2-step",([C+0!H0:1]=[O+0:2].[C+0!H0:5]=[O+0:6]).[O+0:3]=[O+0:4]>>([*:1](=[*:2])[*:3].[*:5](=[*:6])[*:4])
101,"Aldehyde & Alcohol Oxidation, 2-step","([C+0!H0:1]=[O+0:2].[C+0;H3,H2:5][O+0H:6]).[O+0:3]=[O+0:4]>>([*:1](=[*:2])[*:3].[*:5](=[*:6])[O]).[*:4]"
102,Ketone Oxidation,"[C,c;+0:1][C+0:2](=[O+0:3])!@[C+0H2:4][C,c;+0:5].[O+0:6]=[O+0:7]>>[*:1][*:2](=[*:3])[*:6].[*:5][*:4](=[*:7])[O]"
103,"Ketone Oxidation, Intramolecular","[C,c;+0:1][C+0:2](=[O+0:3])@[C+0H2:4][C,c;+0:5].[O+0:6]=[O+0:7]>>([*:1][*:2](=[*:3])[*:6].[*:5][*:4](=[*:7])[O])"
104,Baeyer-Villiger Oxidation (Ketones),"[C,c;+0:5][C+0:1](=[O+0:2])[C,c;+0:3].[O+0:4]=[O+0]>>[*:5][*:1](=[*:2])[*:4][*:3]"
105,Baeyer-Villiger Oxidation (Aldehydes),"[C+0H:1](=[O+0:2])[C$(*(C)(C)C),C$(*=*),C$(*c),c;+0:3].[O+0:4]=[O+0]>>[*:1](=[*:2])[*:4][*:3]"
106,Hydrogenation of Ketones,[C+0!$(*-O):1]=[O+0:2].[H][H]>>[*:1][*:2]
107,Keto-enol Tautomerization,"[C,N;+0!H0:1][C+0:2]=[O,N;+0:3]>>[*:1]=[*:2][*:3]"
108,Keto-enol Tautomerization Reverse,"[C,N;+0:1]=[C+0:2][O,N;+0!H0:3]>>[*:1][*:2]=[*:3]"
109,Decarbonylation of Aldehydes,[*+0:1][C+0H:2]=[O+0:3]>>[*:1].[*-:2]#[*+:3]
110,Ketonization,[*+0:1][C+0:2](=[O+0:3])[O+0H:4].[*+0:5][C+0:6](=[O+0:7])[O+0H:8]>>[*:1][*:2](=[*:3])[*:5].[*:4]=[*:6]=[*:7].[*:8]
111,"Ketonization, Intramolecular",([*+0:1][C+0:2](=[O+0:3])[O+0H:4].[*+0:5][C+0:6](=[O+0:7])[O+0H:8])>>[*:1][*:2](=[*:3])[*:5].[*:4]=[*:6]=[*:7].[*:8]
112,Oxidative Esterification of Aldehydes and Alcohols,[C+0;!$(*=O):5][O+0H:1].[O+0:2]=[C+0!H0:3].[O+0:4]=[O+0]>>[*:5][*:1][*:3]=[*:2].[*:4]
113,"Oxidative Esterification of Aldehydes and Alcohols, Intramolecular",([C+0;!$(*=O):5][O+0H:1].[O+0:2]=[C+0!H0:3]).[O+0:4]=[O+0]>>[*:5][*:1][*:3]=[*:2].[*:4]
114,McMurry Reaction,[*+0:1][C+0;!$(*-O):2](=[O+0:3]).[*+0:5][C+0;!$(*-O):6](=[O+0:7]).[H][H]>>[*:1][*:2]=[*:6][*:5].[*:3].[*:7]
115,"McMurry Reaction, Intramolecular",([*+0:1][C+0;!$(*-O):2](=[O+0:3]).[*+0:5][C+0;!$(*-O):6](=[O+0:7])).[H][H]>>[*:1][*:2]=[*:6][*:5].[*:3].[*:7]
116,Hydration of Ketone and Aldehyde,[C+0;!$(*-O):2]=[O+0:3].[O+0H2:4]>>[*:2]([*:3])[*:4]
117,"Hemiacetal Dissociation, Addition of Alcohols to Carbonyl Groups Reverse",[C;!$(*=O):1]([O+0H:2])!@[O+0:3][C;!$(*=O):4]>>[*:1]=[*:2].[*:3][*:4]
118,"Hemiacetal Dissociation, Addition of Alcohols to Carbonyl Groups Reverse, Intramolecular",[C;!$(*=O):1]([O+0H:2])@[O+0:3][C;!$(*=O):4]>>([*:1]=[*:2].[*:3][*:4])
119,"Hemiacetal Formation, Addition of Alcohols to Carbonyl Groups",[CX3;!$(*O):1]=[O+0:2].[O+0H:3][C;!$(*=O):4]>>[*:1]([*:2])[*:3][*:4]
120,"Hemiacetal Formation, Addition of Alcohols to Carbonyl Groups, Intramolecular",([C;!$(*O):1]=[O+0:2].[O+0H:3][C;!$(*=O):4])>>[*:1]([*:2])[*:3][*:4]
121,Reduction of Carbonyl Groups,"[C,c,N;+0:1][C+0:2]=[O+0:3].[H][H]>>[*:1][*:2].[*:3]"
122,a-Halogenation,"[C+0:2](=[O+0:3])[C+0!H0:4].[F,Cl,Br,I;+0:5][F,Cl,Br,I;+0:6]>>[*:2](=[*:3])[*:4][*:5].[*:6]"
123,Wittig Reaction (Combined with Ylide Formation),"[C+0!H0;!$(*~[O,S,N]):1][F,Cl,Br,I;+0].[C,c;+0:3][C+0;!$(*-O):4]=[O+0]>>[*:1]=[*:4][*:3]"
124,"Wittig Reaction, Intramolecular (Combined with Ylide Formation)","([C+0!H0;!$(*~[O,S,N]):1][F,Cl,Br,I;+0].[C,c;+0:3][C+0;!$(*-O):4]=[O+0])>>[*:1]=[*:4][*:3]"
125,Carboxylic Acids Decarboxylation,[*+0:1][C+0:2](=[O+0:3])[O+0H:4]>>[*:1].[*:3]=[*:2]=[*:4]
126,Acid Anhydrides React with Alcohols to Form Esters,"[C+0;!$(*[OH]):1](=[O+0:2])[O+0!R:3][C+0;!$(*[OH]):4](=[O+0:5]).[C,c;+0;!$(*=O):6][O+0H:7]>>[*:1](=[*:2])[*:3][*:6].[*:4](=[*:5])[*:7]"
127,"Acid Anhydrides React with Alcohols to Form Esters, Intramolecular","[C+0;!$(*[OH]):1](=[O+0:2])[O+0R:3][C+0;!$(*[OH]):4](=[O+0:5]).[C,c;+0;!$(*=O):6][O+0H:7]>>([*:1](=[*:2])[*:3][*:6].[*:4](=[*:5])[*:7])"
128,Aldol Condensation,[C+0:2](=[O+0:3])[C+0!H0:4].[O+0:5]=[C+0X3:6]>>[*:2](=[*:3])[*:4][*:6]([*:5])
129,"Aldol Condensation, Intramolecular",([C+0:2](=[O+0:3])[C+0!H0:4].[O+0:5]=[C+0X3:6])>>[*:2](=[*:3])[*:4][*:6]([*:5])
130,Aldol Condensation (2H),"[C+0:2](=[O+0:3])[C+0;H3,H2:4].[O+0:5]=[C+0X3:6]>>[*:2](=[*:3])[*:4]=[*:6].[*:5]"
131,"Aldol Condensation (2H), Intramolecular","([C+0:2](=[O+0:3])[C+0;H3,H2:4].[O+0:5]=[C+0X3:6])>>[*:2](=[*:3])[*:4]=[*:6].[*:5]"
132,Claisen Condensation,[C+0:2](=[O+0:3])!@[O+0:7][C+0:4].[O+0:5]=[C+0:6][C+0!H0:8]>>[*:2](=[*:3])[*:8][*:6]=[*:5].[*:7][*:4]
133,Dieckmann Condensation,([C+0:2](=[O+0:3])!@[O+0:7][C+0:4].[O+0:5]=[C+0:6][C+0!H0:8])>>[*:2](=[*:3])[*:8][*:6]=[*:5].[*:7][*:4]
134,Michael Reaction,[C+0:1](=[O+0:2])[C+0!H0:3][C+0:4]=[O+0:5].[C+0:6]=[C+0:7][C+0:8]=[O+0:9]>>[*:1](=[*:2])[*:3]([*:6][*:7][*:8]=[*:9])[*:4]=[*:5]
135,"Michael Reaction, Intramolecular",([C+0:1](=[O+0:2])[C+0!H0:3][C+0:4]=[O+0:5].[C+0:6]=[C+0:7][C+0:8]=[O+0:9])>>[*:1](=[*:2])[*:3]([*:6][*:7][*:8]=[*:9])[*:4]=[*:5]
136,Michael Reaction with Cyclic Ketones,[C+0:1]1(=[O+0:2])[C+0!H0:3][C+0:10][C+0:11][C+0:12][C+0:13]1.[C+0:6]=[C+0:7][C+0:8]=[O+0:9]>>[*:1]1(=[*:2])[*:3]([*:10][*:11][*:12][*:13]1)[*:6][*:7][*:8]=[*:9]
137,"Michael Reaction with Cyclic Ketones, Intramolecular",([C+0:1]1(=[O+0:2])[C+0!H0:3][C+0:10][C+0:11][C+0:12][C+0:13]1.[C+0:6]=[C+0:7][C+0:8]=[O+0:9])>>[*:1]1(=[*:2])[*:3]([*:10][*:11][*:12][*:13]1)[*:6][*:7][*:8]=[*:9]
138,Robinson Annulation,"[C+0:1]1(=[O+0:2])[C+0!H0:3][C+0:14][C+0:15][C+0:16][C+0:17]1.[C+0:8]=[C+0:9][C+0:10](=[O+0:11])[C+0;H2,H3:12]>>[*:1]12[*:3]([*:8][*:9][*:10](=[*:11])[*:12]=2)[*:14][*:15][*:16][*:17]1.[*:2]"
139,"Esterification, Acid Anhydride Formation","[C+0:2](=[O+0:3])[O+0H:4].[C,c;+0:5][O+0H:6]>>[*:2](=[*:3])[*:6][*:5].[*:4]"
140,"Esterification, Acid Anhydride Formation, Intramolecular","([C+0:2](=[O+0:3])[O+0H:4].[C,c;+0:5][O+0H:6])>>[*:2](=[*:3])[*:6][*:5].[*:4]"
